Viti,Muaji,Pershkrimi,Statusi,Komuna,Tatimpaguesit,Blerjet dhe importet investive pa TVSH,Blerjet dhe importet investive me TVSH jo te zbritshme,Importet investive me norme 18%,Importet investive me norme 8%,Blerjet investive vendore me norme 18%,Blerjet investive vendore me norme 8%
2019,1,0,20,2,5,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,5,3,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,20,3,3,4000.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,14,4,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,20,4,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,5,5,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,20,5,9,0.0,0.0,0.0,0.0,36864.42,0.0
2019,1,0,5,6,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,20,8,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,20,9,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,20,19,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,5,22,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,20,22,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,5,24,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,17,24,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,20,24,4,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,5,25,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,1,26,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,2,26,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,5,26,11,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,7,26,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,13,26,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,14,26,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,19,26,10,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,20,26,48,0.0,0.0,0.0,0.0,9442.09,258.51
2019,1,0,7,27,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,20,27,10,0.0,0.0,0.0,0.0,1699.07,0.0
2019,1,0,5,33,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,0,20,34,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,5,0,4,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,17,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,0,6,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,5,1,4,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,1,2,0.0,0.0,0.0,0.0,21186.42,0.0
2019,1,1,5,2,26,0.0,0.0,4900.5,0.0,10955.55,364.71
2019,1,1,17,2,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,2,52,1003.4,0.0,0.0,0.0,65064.73,2173.24
2019,1,1,5,3,12,0.0,0.0,0.0,0.0,0.0,206.0
2019,1,1,17,3,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,3,16,0.0,0.0,0.0,0.0,2088.98,0.0
2019,1,1,5,4,39,0.0,0.0,0.0,0.0,2114.14,0.0
2019,1,1,17,4,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,4,33,2000.0,1577.23,0.0,0.0,43948.7,1488.0
2019,1,1,5,5,24,0.0,0.0,397.23,1234.37,1644.16,0.0
2019,1,1,7,5,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,5,31,0.0,369.59,0.0,0.0,4750.5,0.0
2019,1,1,5,6,8,0.0,0.0,0.0,0.0,74081.67,0.0
2019,1,1,20,6,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,5,7,6,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,17,7,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,7,18,30480.0,33124.08,7430.63,0.0,20130.76,0.0
2019,1,1,5,8,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,8,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,5,9,7,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,9,5,0.0,0.0,0.0,0.0,279.66,0.0
2019,1,1,5,11,6,0.0,0.0,177.85,0.0,1314.64,0.0
2019,1,1,20,11,4,0.0,0.0,0.0,0.0,16179.95,0.0
2019,1,1,5,12,6,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,17,12,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,12,2,0.0,0.0,0.0,0.0,1665.0,0.0
2019,1,1,5,13,11,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,13,4,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,5,15,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,5,16,16,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,17,16,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,16,17,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,5,17,7,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,17,4,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,5,18,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,18,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,5,19,36,0.0,0.0,0.0,0.0,619.05,0.0
2019,1,1,17,19,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,19,11,0.0,0.0,0.0,0.0,17220.36,0.0
2019,1,1,5,20,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,20,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,5,21,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,21,4,0.0,0.0,0.0,0.0,2729.68,0.0
2019,1,1,5,22,10,0.0,0.0,368.5,0.0,0.0,0.0
2019,1,1,20,22,11,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,22,22,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,5,23,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,5,24,27,42433.0,0.0,0.0,0.0,151048.09,0.0
2019,1,1,17,24,6,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,24,22,23870.1,0.0,0.0,0.0,25416.56,1065.0
2019,1,1,5,25,8,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,25,7,0.0,0.0,0.0,0.0,634.54,0.0
2019,1,1,5,26,178,0.0,0.0,17000.45,1909.33,42697.52,0.0
2019,1,1,7,26,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,17,26,12,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,22,26,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,5,27,84,8942.46,0.0,0.0,0.0,39125.29,0.0
2019,1,1,17,27,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,27,51,4040.0,0.0,12292.16,0.0,56233.89,437.73
2019,1,1,5,28,8,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,28,6,334228.78,0.0,2200.0,0.0,0.0,0.0
2019,1,1,5,30,4,0.0,0.0,0.0,0.0,4869.97,0.0
2019,1,1,5,31,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,7,31,1,0.0,0.0,0.0,0.0,0.0,0.0
