Viti,Muaji,Pershkrimi,Statusi,Komuna,Tatimpaguesit,Blerjet dhe importet investive pa TVSH,Blerjet dhe importet investive me TVSH jo te zbritshme,Importet investive me norme 18%,Importet investive me norme 8%,Blerjet investive vendore me norme 18%,Blerjet investive vendore me norme 8%
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,FERIZAJ,5,0,0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,FUSHË KOSOVË,1,0,0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,FUSHË KOSOVË,3,"4,000.00",0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,OJQ,GJAKOVË,1,0,0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,GJAKOVË,3,0,0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,GJILAN,2,0,0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,GJILAN,9,0,0,0,0,"36,864.42",0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,GLLOGOC,1,0,0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,HANI I ELEZIT,1,0,0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,ISTOG,1,0,0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,MITROVICË,1,0,0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,OBILIQ,1,0,0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,OBILIQ,2,0,0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,PEJË,1,0,0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Ortakëria e përgj.,PEJË,1,0,0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,PEJË,4,0,0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,PODUJEVË,1,0,0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem, Konsorcium,PRISHTINË,3,0,0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem, Përfaqësues Fiskal,PRISHTINË,1,0,0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,PRISHTINË,11,0,0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Kompani e huaj,PRISHTINË,2,0,0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Ndërmarrje shoq.,PRISHTINË,2,0,0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,OJQ,PRISHTINË,1,0,0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Projekt,PRISHTINË,10,0,0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,PRISHTINË,48,0,0,0,0,"9,442.09",258.51
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Kompani e huaj,PRIZREN,1,0,0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,PRIZREN,10,0,0,0,0,"1,699.07",0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,Individual,SUHAREKË,1,0,0,0,0,0,0
2019,1,Administrimi publik dhe mbrojtja; Sigurimi social i detyrueshem,SH.P.K.,VITI,1,0,0,0,0,0,0
2019,1,Akomodimi dhe sherbimi ushqimor,Individual,DEÇAN,4,0,0,0,0,0,0
2019,1,Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,DEÇAN,1,0,0,0,0,0,0
2019,1,Akomodimi dhe sherbimi ushqimor,SH.P.K.,DEÇAN,6,0,0,0,0,0,0
2019,1,Akomodimi dhe sherbimi ushqimor,Individual,DRAGASH,4,0,0,0,0,0,0
2019,1,Akomodimi dhe sherbimi ushqimor,SH.P.K.,DRAGASH,2,0,0,0,0,"21,186.42",0
2019,1,Akomodimi dhe sherbimi ushqimor,Individual,FERIZAJ,26,0,0,"4,900.50",0,"10,955.55",364.71
2019,1,Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,FERIZAJ,2,0,0,0,0,0,0
2019,1,Akomodimi dhe sherbimi ushqimor,SH.P.K.,FERIZAJ,52,"1,003.40",0,0,0,"65,064.73","2,173.24"
2019,1,Akomodimi dhe sherbimi ushqimor,Individual,FUSHË KOSOVË,12,0,0,0,0,0,206
2019,1,Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,FUSHË KOSOVË,1,0,0,0,0,0,0
2019,1,Akomodimi dhe sherbimi ushqimor,SH.P.K.,FUSHË KOSOVË,16,0,0,0,0,"2,088.98",0
2019,1,Akomodimi dhe sherbimi ushqimor,Individual,GJAKOVË,39,0,0,0,0,"2,114.14",0
2019,1,Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,GJAKOVË,1,0,0,0,0,0,0
2019,1,Akomodimi dhe sherbimi ushqimor,SH.P.K.,GJAKOVË,33,"2,000.00","1,577.23",0,0,"43,948.70","1,488.00"
2019,1,Akomodimi dhe sherbimi ushqimor,Individual,GJILAN,24,0,0,397.23,"1,234.37","1,644.16",0
2019,1,Akomodimi dhe sherbimi ushqimor,Kompani e huaj,GJILAN,1,0,0,0,0,0,0
2019,1,Akomodimi dhe sherbimi ushqimor,SH.P.K.,GJILAN,31,0,369.59,0,0,"4,750.50",0
2019,1,Akomodimi dhe sherbimi ushqimor,Individual,GLLOGOC,8,0,0,0,0,"74,081.67",0
2019,1,Akomodimi dhe sherbimi ushqimor,SH.P.K.,GLLOGOC,3,0,0,0,0,0,0
2019,1,Akomodimi dhe sherbimi ushqimor,Individual,GRAÇANICË,6,0,0,0,0,0,0
2019,1,Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,GRAÇANICË,1,0,0,0,0,0,0
2019,1,Akomodimi dhe sherbimi ushqimor,SH.P.K.,GRAÇANICË,18,"30,480.00","33,124.08","7,430.63",0,"20,130.76",0
2019,1,Akomodimi dhe sherbimi ushqimor,Individual,HANI I ELEZIT,3,0,0,0,0,0,0
2019,1,Akomodimi dhe sherbimi ushqimor,SH.P.K.,HANI I ELEZIT,1,0,0,0,0,0,0
2019,1,Akomodimi dhe sherbimi ushqimor,Individual,ISTOG,7,0,0,0,0,0,0
2019,1,Akomodimi dhe sherbimi ushqimor,SH.P.K.,ISTOG,5,0,0,0,0,279.66,0
2019,1,Akomodimi dhe sherbimi ushqimor,Individual,KAMENICË,6,0,0,177.85,0,"1,314.64",0
2019,1,Akomodimi dhe sherbimi ushqimor,SH.P.K.,KAMENICË,4,0,0,0,0,"16,179.95",0
2019,1,Akomodimi dhe sherbimi ushqimor,Individual,KAÇANIK,6,0,0,0,0,0,0
2019,1,Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,KAÇANIK,1,0,0,0,0,0,0
2019,1,Akomodimi dhe sherbimi ushqimor,SH.P.K.,KAÇANIK,2,0,0,0,0,"1,665.00",0
2019,1,Akomodimi dhe sherbimi ushqimor,Individual,KLINË,11,0,0,0,0,0,0
2019,1,Akomodimi dhe sherbimi ushqimor,SH.P.K.,KLINË,4,0,0,0,0,0,0
2019,1,Akomodimi dhe sherbimi ushqimor,Individual,LEPOSAVIQ,1,0,0,0,0,0,0
2019,1,Akomodimi dhe sherbimi ushqimor,Individual,LIPJAN,16,0,0,0,0,0,0
2019,1,Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,LIPJAN,1,0,0,0,0,0,0
2019,1,Akomodimi dhe sherbimi ushqimor,SH.P.K.,LIPJAN,17,0,0,0,0,0,0
2019,1,Akomodimi dhe sherbimi ushqimor,Individual,MALISHEVË,7,0,0,0,0,0,0
